Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
23/01/2014;44.71428571;72.62985866;61.47324431;9.677675589;57.42857143;70.95371937;19;6.6;1244.25
24/01/2014;44.85714286;70.46908127;61.47756749;14.04968613;57.28571429;75.80522404;19;6.6;1259.25
25/01/2014;45;75.21024735;51.92525699;8.514418081;57.14285714;61.22161761;19;6.6;1259.25
26/01/2014;44.85714286;78.03710247;51.49534057;6.917716464;57;64.80262366;43;6.6;1259.25
27/01/2014;44.71428571;67.73674912;69.66663464;12.35788014;57;61.29640247;43;6.6;1270.0
28/01/2014;44.57142857;72.14664311;64.92074167;14.67087015;57;65.0968803;43;6.6;1253.5
29/01/2014;44.42857143;73.00265018;59.78768374;7.40343578;57;62.23278238;43;6.6;1254.75
30/01/2014;44.28571429;72.25;62.06840234;9.837506763;57;62.68624029;43;6.6;1254.0
31/01/2014;44.14285714;73.19699647;63.66173504;6.988132348;57;72.35654966;43;6.6;1246.5
01/02/2014;44;73.84187279;59.35152272;7.618547715;57;78.72328019;43;6.7;1246.5
02/02/2014;43.42857143;72.8975265;54.22086656;6.130904844;57;71.41324097;21;6.7;1246.5
03/02/2014;42.85714286;72.74381625;73.43068498;6.276137603;56;77.31929012;21;6.7;1246.5
04/02/2014;42.28571429;73.14399293;67.40945336;11.16703592;55;67.00258103;21;6.7;1253.0
05/02/2014;41.71428571;72.37279152;67.12604477;14.97926166;54;67.03474809;21;6.7;1257.0
06/02/2014;41.14285714;68.9319788;68.68623307;22.70461396;53;63.68617639;21;6.7;1258.5
07/02/2014;40.57142857;63.41254417;69.08348545;16.01617848;52;60.09187575;21;6.7;1260.0
08/02/2014;39;59.2164311;62.93303872;7.959785661;51;60.6097184;21;6.7;1260.0
09/02/2014;40.28571429;60.26766784;53.96003459;9.110591579;50;52.52840046;35;6.7;1260.0
